City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,port blair,11.6667,92.75,26.02,89,93,1.03,IN,1711741501
115,fada,9.5667,8.3,28.77,20,78,1.64,NG,1711741798
116,ust-nera,64.5667,143.2,-6.17,96,100,2.58,RU,1711741798
117,daru,-9.0763,143.2092,26.26,89,100,1.87,PG,1711741799
118,bhimunipatnam,17.8833,83.4333,27.73,73,0,4.83,IN,1711741799
119,jackson,42.4165,-122.8345,12.99,56,75,1.79,US,1711741534
120,arraial do cabo,-22.9661,-42.0278,24.98,94,75,5.14,BR,1711741800
121,dunedin,-45.8742,170.5036,11.56,83,79,3.13,NZ,1711741528
122,bredasdorp,-34.5322,20.0403,18.16,80,100,5.47,ZA,1711741801
123,xichang,27.8964,102.2634,13.38,73,64,0.73,CN,1711741802
124,chaksu,26.6,75.95,29.51,27,73,2.56,IN,1711741802
125,vuktyl,63.8567,57.3094,-1.61,93,100,7.6,RU,1711741803
126,tiksi,71.6872,128.8694,-30.43,98,80,3.74,RU,1711741804
127,margaret river,-33.95,115.0667,17.02,89,94,1.94,AU,1711741804
128,punta del este,-34.9667,-54.95,26.06,86,40,5.14,UY,1711741805
129,richland center,43.3347,-90.3868,12.02,47,75,4.87,US,1711741622
130,bereznik,62.8551,42.7072,1.18,100,100,0.76,RU,1711741806
131,pechora,65.1472,57.2244,-0.08,97,100,7.15,RU,1711741806
132,ad dawadimi,24.5077,44.3924,19.64,29,98,3.11,SA,1711741807
133,kangding,30.0513,101.9603,8.49,84,100,2.1,CN,1711741807
134,sarande,39.8756,20.0053,16.74,70,81,1.06,AL,1711741807
135,aswan,24.0934,32.907,27.61,14,0,4.63,EG,1711741808
136,sillamae,59.3997,27.7547,4.75,87,100,5.52,EE,1711741808
137,planaltina,-15.4528,-47.6142,24.54,80,100,1.88,BR,1711741744
138,tura,25.5198,90.2201,22.0,66,88,1.62,IN,1711741809
139,solnechnyy,50.7214,136.6319,-1.09,99,100,1.41,RU,1711741810
140,yellowknife,62.456,-114.3525,-8.71,48,20,2.57,CA,1711741810
141,idri,27.5,13.2667,23.61,21,0,5.87,LY,1711741811
142,san diego country estates,33.0067,-116.7836,17.64,57,75,2.57,US,1711741812
143,ancud,-41.8697,-73.8203,13.45,59,58,3.89,CL,1711741624
144,lazarevskoye,43.9061,39.3331,12.03,85,55,5.1,RU,1711741813
145,cabo san lucas,22.8909,-109.9124,29.23,50,0,3.25,MX,1711741813
146,sosnovo-ozerskoye,52.5249,111.5418,-15.52,64,0,1.55,RU,1711741814
147,aasiaat,68.7098,-52.8699,-14.17,86,22,2.17,GL,1711741815
148,saudarkrokur,65.7461,-19.6394,-2.79,89,89,5.08,IS,1711741815
149,sibbo,60.3775,25.2691,5.09,96,75,3.6,FI,1711741816
150,vadso,70.0744,29.7487,-3.51,68,15,4.63,NO,1711741816
151,sovet,38.0467,69.5882,8.01,89,100,2.1,TJ,1711741817
152,longyearbyen,78.2186,15.6401,-25.09,77,20,1.54,SJ,1711741818
153,bubaque,11.2833,-15.8333,25.16,73,100,12.06,GW,1711741818
154,sao felix do xingu,-6.6447,-51.995,27.04,85,93,0.62,BR,1711741819
155,riobamba,-1.6667,-78.6333,18.64,63,100,2.65,EC,1711741805
156,khandyga,62.6667,135.6,-17.97,98,98,2.2,RU,1711741820
157,broken hill,-31.95,141.4333,22.07,75,0,2.56,AU,1711741820
158,meulaboh,4.1363,96.1285,25.13,92,100,2.39,ID,1711741821
159,hobyo,5.3505,48.5268,28.1,70,56,7.93,SO,1711741822
160,port augusta,-32.5,137.7667,22.23,56,9,3.47,AU,1711741822
161,remire-montjoly,4.9167,-52.2667,24.02,100,75,1.54,GF,1711741823
162,nanao,37.05,136.9667,15.18,89,48,6.24,JP,1711741824
